sample_id,anc_label,n_sites,prop_sites,tool
HG02090,EUR,5000,1.0,gnomix
HG02102,EAS,4029,0.8058,gnomix
HG02102,EUR,971,0.1942,gnomix
HG02104,EAS,5000,1.0,gnomix
HG02105,EAS,5000,1.0,gnomix
HG02253,EAS,711,0.1422,gnomix
HG02253,EUR,4289,0.8578,gnomix
HG02262,EAS,3578,0.7156,gnomix
HG02262,EUR,1422,0.2844,gnomix
HG02265,EAS,5000,1.0,gnomix
HG02266,EAS,4424,0.8848,gnomix
HG02266,EUR,576,0.1152,gnomix
HG02271,EAS,5000,1.0,gnomix
HG02272,EAS,5000,1.0,gnomix
HG02274,AFR,4029,0.8058,gnomix
HG02274,EUR,971,0.1942,gnomix
HG02275,EAS,5000,1.0,gnomix
HG02278,EAS,5000,1.0,gnomix
HG02298,EAS,2686,0.5372,gnomix
HG02298,EUR,2314,0.4628,gnomix
HG02299,EAS,5000,1.0,gnomix
HG02345,EAS,5000,1.0,gnomix
HG02425,AFR,4108,0.8216,gnomix
HG02425,EAS,655,0.131,gnomix
HG02425,EUR,237,0.0474,gnomix
HG01565,EAS,5058,1.0,rfmix
HG01572,EAS,4251,0.8404507710557533,rfmix
HG01572,EUR,807,0.15954922894424675,rfmix
HG01577,EAS,3206,0.6338473705021748,rfmix
HG01577,EUR,1852,0.36615262949782523,rfmix
HG01578,EAS,4063,0.8032819296164492,rfmix
HG01578,EUR,995,0.1967180703835508,rfmix
HG01892,AFR,640,0.1265322261763543,rfmix
HG01892,EUR,4418,0.8734677738236457,rfmix
HG01893,EAS,3730,0.7374456306840649,rfmix
HG01893,EUR,1328,0.2625543693159352,rfmix
HG01917,EAS,5058,1.0,rfmix
HG01918,EUR,5058,1.0,rfmix
HG01920,EAS,5058,1.0,rfmix
HG01921,EAS,5058,1.0,rfmix
HG01923,EAS,5058,1.0,rfmix
HG01924,EAS,5058,1.0,rfmix
HG01932,EAS,1888,0.37327006722024514,rfmix
HG01932,EUR,3170,0.6267299327797549,rfmix
HG01933,EAS,3514,0.6947410043495452,rfmix
HG01933,EUR,1544,0.3052589956504547,rfmix
HG01935,EAS,3394,0.6710162119414789,rfmix
HG01935,EUR,1664,0.32898378805852113,rfmix
HG01936,EAS,5058,1.0,rfmix
HG01941,EAS,5058,1.0,rfmix
HG01945,EAS,3881,0.7672993277975484,rfmix
HG01945,EUR,1177,0.23270067220245155,rfmix
HG01950,EAS,5058,1.0,rfmix
HG01953,EAS,5058,1.0,rfmix
HG01954,EAS,5058,1.0,rfmix
HG01965,AFR,1747,0.3453934361407671,rfmix
HG01965,EAS,2679,0.529655990510083,rfmix
HG01965,EUR,632,0.12495057334914986,rfmix
HG01967,EAS,1842,0.3641755634638197,rfmix
HG01967,EUR,3216,0.6358244365361803,rfmix
HG01968,EAS,5058,1.0,rfmix
HG01970,EUR,5058,1.0,rfmix
HG01973,EAS,5058,1.0,rfmix
HG01974,EAS,5058,1.0,rfmix
HG01976,EAS,5058,1.0,rfmix
HG01979,EAS,2973,0.5877817319098458,rfmix
HG01979,EUR,2085,0.4122182680901542,rfmix
HG01982,AFR,40,0.007908264136022143,rfmix
HG01982,EAS,3887,0.7684855674179517,rfmix
HG01982,EUR,1131,0.2236061684460261,rfmix
HG01991,EAS,1571,0.31059707394226965,rfmix
HG01991,EUR,3487,0.6894029260577303,rfmix
HG01997,EAS,3302,0.652827204428628,rfmix
HG01997,EUR,1756,0.3471727955713721,rfmix
HG02003,EAS,5058,1.0,rfmix
HG02090,AFR,458,0.09054962435745353,rfmix
HG02090,EUR,4600,0.9094503756425465,rfmix
HG02102,AFR,219,0.04329774614472123,rfmix
HG02102,EAS,4839,0.9567022538552787,rfmix
HG02104,EAS,5058,1.0,rfmix
HG02105,EAS,5058,1.0,rfmix
HG02253,EAS,640,0.1265322261763543,rfmix
HG02253,EUR,4418,0.8734677738236457,rfmix
HG02262,EAS,3952,0.7813364966389877,rfmix
